[root@diallog ~]# sudo tcpdump -i eth0 -n udp and portrange 10000-20000 -c 60
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 96 bytes
16:39:44.212114 IP 10.33.0.55.11268 > 89.238.220.26.50378: UDP, length 172
16:39:44.232755 IP 10.33.0.55.11268 > 89.238.220.26.50378: UDP, length 172
16:39:44.252433 IP 10.33.0.55.11268 > 89.238.220.26.50378: UDP, length 172
16:39:44.273096 IP 10.33.0.55.11268 > 89.238.220.26.50378: UDP, length 172
16:39:44.293757 IP 10.33.0.55.11268 > 89.238.220.26.50378: UDP, length 172
16:39:44.313437 IP 10.33.0.55.11268 > 89.238.220.26.50378: UDP, length 172
16:39:44.333117 IP 10.33.0.55.11268 > 89.238.220.26.50378: UDP, length 172
16:39:44.352795 IP 10.33.0.55.11268 > 89.238.220.26.50378: UDP, length 172
16:39:44.371972 IP 89.238.220.26.50378 > 10.33.0.55.11268: UDP, length 172
16:39:44.374453 IP 10.33.0.55.11268 > 89.238.220.26.50378: UDP, length 172
16:39:44.390183 IP 10.33.0.55.11268 > 89.238.220.26.50378: UDP, length 172
16:39:44.409870 IP 10.33.0.55.11268 > 89.238.220.26.50378: UDP, length 172
16:39:44.411576 IP 89.238.220.26.50378 > 10.33.0.55.11268: UDP, length 172
16:39:44.430528 IP 10.33.0.55.11268 > 89.238.220.26.50378: UDP, length 172
16:39:44.431457 IP 89.238.220.26.50378 > 10.33.0.55.11268: UDP, length 172
16:39:44.450209 IP 10.33.0.55.11268 > 89.238.220.26.50378: UDP, length 172
16:39:44.451593 IP 89.238.220.26.50378 > 10.33.0.55.11268: UDP, length 172
16:39:44.469896 IP 10.33.0.55.11268 > 89.238.220.26.50378: UDP, length 172
16:39:44.471531 IP 89.238.220.26.50378 > 10.33.0.55.11268: UDP, length 172
16:39:44.490546 IP 10.33.0.55.11268 > 89.238.220.26.50378: UDP, length 172
16:39:44.491445 IP 89.238.220.26.50378 > 10.33.0.55.11268: UDP, length 172
16:39:44.510230 IP 10.33.0.55.11268 > 89.238.220.26.50378: UDP, length 172
16:39:44.511572 IP 89.238.220.26.50378 > 10.33.0.55.11268: UDP, length 172
16:39:44.529904 IP 10.33.0.55.11268 > 89.238.220.26.50378: UDP, length 172
16:39:44.531509 IP 89.238.220.26.50378 > 10.33.0.55.11268: UDP, length 172
16:39:44.551558 IP 10.33.0.55.11268 > 89.238.220.26.50378: UDP, length 172
16:39:44.551575 IP 89.238.220.26.50378 > 10.33.0.55.11268: UDP, length 172
16:39:44.571233 IP 10.33.0.55.11268 > 89.238.220.26.50378: UDP, length 172
16:39:44.571634 IP 89.238.220.26.50378 > 10.33.0.55.11268: UDP, length 172
16:39:44.590915 IP 10.33.0.55.11268 > 89.238.220.26.50378: UDP, length 172
16:39:44.591549 IP 89.238.220.26.50378 > 10.33.0.55.11268: UDP, length 172
16:39:44.611499 IP 89.238.220.26.50378 > 10.33.0.55.11268: UDP, length 172
16:39:44.611582 IP 10.33.0.55.11268 > 89.238.220.26.50378: UDP, length 172
16:39:44.631269 IP 10.33.0.55.11268 > 89.238.220.26.50378: UDP, length 172
16:39:44.631548 IP 89.238.220.26.50378 > 10.33.0.55.11268: UDP, length 172
16:39:44.650935 IP 10.33.0.55.11268 > 89.238.220.26.50378: UDP, length 172
16:39:44.651530 IP 89.238.220.26.50378 > 10.33.0.55.11268: UDP, length 172
16:39:44.671536 IP 89.238.220.26.50378 > 10.33.0.55.11268: UDP, length 172
16:39:44.672581 IP 10.33.0.55.11268 > 89.238.220.26.50378: UDP, length 172
16:39:44.691495 IP 89.238.220.26.50378 > 10.33.0.55.11268: UDP, length 172
16:39:44.692265 IP 10.33.0.55.11268 > 89.238.220.26.50378: UDP, length 172
16:39:44.711516 IP 89.238.220.26.50378 > 10.33.0.55.11268: UDP, length 172
16:39:44.711943 IP 10.33.0.55.11268 > 89.238.220.26.50378: UDP, length 172
16:39:44.731522 IP 89.238.220.26.50378 > 10.33.0.55.11268: UDP, length 172
16:39:44.732601 IP 10.33.0.55.11268 > 89.238.220.26.50378: UDP, length 172
16:39:44.751470 IP 89.238.220.26.50378 > 10.33.0.55.11268: UDP, length 172
16:39:44.752281 IP 10.33.0.55.11268 > 89.238.220.26.50378: UDP, length 172
16:39:44.771548 IP 89.238.220.26.50378 > 10.33.0.55.11268: UDP, length 172
16:39:44.771968 IP 10.33.0.55.11268 > 89.238.220.26.50378: UDP, length 172
16:39:44.791595 IP 89.238.220.26.50378 > 10.33.0.55.11268: UDP, length 172
16:39:44.792623 IP 10.33.0.55.11268 > 89.238.220.26.50378: UDP, length 172
16:39:44.811462 IP 89.238.220.26.50378 > 10.33.0.55.11268: UDP, length 172
16:39:44.812307 IP 10.33.0.55.11268 > 89.238.220.26.50378: UDP, length 172
16:39:44.831557 IP 89.238.220.26.50378 > 10.33.0.55.11268: UDP, length 172
16:39:44.831984 IP 10.33.0.55.11268 > 89.238.220.26.50378: UDP, length 172
16:39:44.851526 IP 89.238.220.26.50378 > 10.33.0.55.11268: UDP, length 172
16:39:44.852644 IP 10.33.0.55.11268 > 89.238.220.26.50378: UDP, length 172
16:39:44.871577 IP 89.238.220.26.50378 > 10.33.0.55.11268: UDP, length 172
16:39:44.872327 IP 10.33.0.55.11268 > 89.238.220.26.50378: UDP, length 172
16:39:44.891467 IP 89.238.220.26.50378 > 10.33.0.55.11268: UDP, length 172
60 packets captured
60 packets received by filter
0 packets dropped by kernel
[root@diallog ~]#
