[root@diallog ~]# sudo tcpdump -i eth0 -n udp portrange 10000-20000
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 96 bytes
18:26:57.509587 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:57.529247 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:57.548924 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:57.569586 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:57.590250 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:57.609928 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:57.630591 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:57.650270 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:57.669949 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:57.689627 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:57.711276 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:57.730954 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:57.750632 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:57.771296 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:57.790974 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:57.810653 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:57.831316 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:57.850996 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:57.870674 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:57.892321 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:57.912001 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:57.931684 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:57.952343 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:57.972026 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:57.991705 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:57.992447 IP 10.1.2.112.14364 > 10.33.0.55.18168: UDP, length 13
18:26:58.012364 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:58.032046 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:58.052706 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:58.069432 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:58.089110 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:58.108789 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:58.129452 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:58.149131 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:58.169800 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:58.190457 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:58.210136 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:58.229815 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:58.250478 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:58.270156 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:58.289836 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:58.310499 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:58.330178 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:58.350841 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:58.371504 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
