seman@mediagtw:~$ # Terminál 1 na mediagtw — RTP traffic k/od RO Asterisk
sudo tcpdump -i eth0 -n "udp and host 10.33.0.55 and portrange 10000-20000"
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
14:27:54.669226 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:54.689208 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:54.709210 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:54.729210 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:54.749208 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:54.769209 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:54.789211 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:54.809208 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:54.829208 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:54.849206 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:54.869214 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:54.889207 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:54.909260 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:54.929246 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:54.949235 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:54.969212 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:54.989221 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:55.009219 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:55.029209 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:55.049214 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:55.069209 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:55.089211 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:55.109209 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:55.129208 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:55.149209 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:55.169210 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:55.189208 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:55.209213 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:55.229234 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:55.249237 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:55.269222 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:55.289213 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:55.309211 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:55.329208 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:55.349208 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:55.369208 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:55.389207 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:55.409208 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:55.429208 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:55.449209 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:55.469213 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:55.489209 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:55.509207 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:55.529206 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:55.549208 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:55.569230 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:55.589209 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:55.609207 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:55.629209 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:55.649206 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:55.669206 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:55.689206 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:55.709210 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:55.729206 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:55.749208 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:55.769208 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:55.789209 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:55.809206 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:55.829213 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:55.849209 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:55.869208 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:55.889208 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:55.909209 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:55.929208 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:55.949208 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:55.969207 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:55.989254 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:56.009209 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:56.029223 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:56.049211 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:56.069210 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:56.089209 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:56.109208 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:56.129209 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:56.149207 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:56.169206 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:56.189213 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:56.200657 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:56.219257 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:56.239297 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:56.259139 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:56.278938 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:56.299209 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:56.319317 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:56.339169 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:56.359225 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:56.378941 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:56.398913 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:56.418934 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:56.439144 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:56.459160 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:56.478866 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:56.499142 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:56.519171 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:56.539093 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:56.559108 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:56.578966 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:56.599090 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:56.619067 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:56.639145 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:56.659103 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:56.679009 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:56.699070 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:56.719139 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:56.739225 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:56.759083 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:56.778968 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:56.798927 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:56.818693 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:56.839073 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:56.859120 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:56.879159 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:56.898994 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:56.918872 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:56.939240 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:56.958920 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:56.979141 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:56.998936 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:57.018903 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:57.039162 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:57.058994 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:57.079191 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
