country,name,speciality,healthcare,amenity,address,phone,email,website,opening_hours,lat,lon,osm_type,osm_id,osm_url,operator,brand,osm_key,tags_json
DE,Poliklinik Zahnerhaltung und Parodontologie,stomatology,clinic,clinic,"Goethestraße 70, München, 80336",+49 89 5160-0,info@klinikum.uni-muenchen.de,https://www.lmu-klinikum.de/,,48.1313295,11.5581921,node,60237068,https://www.openstreetmap.org/node/60237068,Ludwig-Maximilians-Universität,,node/60237068,"{""addr:city"": ""München"", ""addr:country"": ""DE"", ""addr:housenumber"": ""70"", ""addr:postcode"": ""80336"", ""addr:street"": ""Goethestraße"", ""amenity"": ""clinic"", ""email"": ""info@klinikum.uni-muenchen.de"", ""healthcare"": ""clinic"", ""healthcare:speciality"": ""stomatology"", ""name"": ""Poliklinik Zahnerhaltung und Parodontologie"", ""operator"": ""Ludwig-Maximilians-Universität"", ""operator:short"": ""LMU"", ""operator:wikidata"": ""Q55044"", ""operator:wikipedia"": ""de:Ludwig-Maximilians-Universität München"", ""phone"": ""+49 89 5160-0"", ""website"": ""https://www.lmu-klinikum.de/"", ""wheelchair"": ""yes""}"
DE,Frauenarztpraxis am Gutenbergplatz,gynaecology,doctor,doctors,"Gutenbergplatz 1, 55116",,,,"Mo,Tu,Th 08:00-12:30, Mo,Th 13:30-16:00, Tu 13:30-16:30, We 08:00-12:00, Fr 08:00-13:30",49.9988643,8.2707286,node,208520401,https://www.openstreetmap.org/node/208520401,,,node/208520401,"{""addr:housenumber"": ""1"", ""addr:postcode"": ""55116"", ""addr:street"": ""Gutenbergplatz"", ""amenity"": ""doctors"", ""healthcare"": ""doctor"", ""healthcare:speciality"": ""gynaecology"", ""name"": ""Frauenarztpraxis am Gutenbergplatz"", ""opening_hours"": ""Mo,Tu,Th 08:00-12:30, Mo,Th 13:30-16:00, Tu 13:30-16:30, We 08:00-12:00, Fr 08:00-13:30""}"
DE,Frauenärztin Kirsa Laukaitis-Sewczik,gynaecology,doctor,doctors,,,,,,48.3288389,10.7309404,node,291330021,https://www.openstreetmap.org/node/291330021,,,node/291330021,"{""amenity"": ""doctors"", ""healthcare"": ""doctor"", ""healthcare:speciality"": ""gynaecology"", ""name"": ""Frauenärztin Kirsa Laukaitis-Sewczik""}"
DE,Frauenklinik Dr. Geisenhofer,gynaecology,hospital,hospital,"Hirschauer Straße 6, München, 80538",+49 89 38310,,https://geisenhoferklinik.de/,,48.1515148,11.5960485,node,291898706,https://www.openstreetmap.org/node/291898706,Frauenklinik Dr. Geisenhofer GmbH,,node/291898706,"{""addr:city"": ""München"", ""addr:country"": ""DE"", ""addr:housenumber"": ""6"", ""addr:postcode"": ""80538"", ""addr:street"": ""Hirschauer Straße"", ""amenity"": ""hospital"", ""beds"": ""82"", ""emergency"": ""no"", ""healthcare"": ""hospital"", ""healthcare:speciality"": ""gynaecology"", ""name"": ""Frauenklinik Dr. Geisenhofer"", ""name:en"": ""Dr. Geisenhofer Women's Clinic"", ""opening_hours:visitors"": ""09:00-17:00"", ""operator"": ""Frauenklinik Dr. Geisenhofer GmbH"", ""operator:type"": ""private"", ""phone"": ""+49 89 38310"", ""website"": ""https://geisenhoferklinik.de/"", ""wheelchair"": ""no""}"
DE,Dermatologische Praxis,dermatology;allergology,doctor,doctors,"Langebrücker Straße 4, Dresden, 01109",+49 351 8806917,info@hautarztpraxis-klotzsche.de,https://www.hautarztpraxis-klotzsche.de/,"Mo 08:00-13:00,14:00-19:00; Tu 08:00-13:00; We-Th 14:00-19:00,08:00-13:00; Fr 08:00-13:00",51.1185827,13.7905713,node,293975797,https://www.openstreetmap.org/node/293975797,Dr. med. Marvin Kuske;Dipl.-Med. Ina Lange;Dr. med. Sebastian Boldt,,node/293975797,"{""addr:city"": ""Dresden"", ""addr:housenumber"": ""4"", ""addr:postcode"": ""01109"", ""addr:street"": ""Langebrücker Straße"", ""amenity"": ""doctors"", ""check_date"": ""2024-07-23"", ""contact:email"": ""info@hautarztpraxis-klotzsche.de"", ""contact:phone"": ""+49 351 8806917"", ""contact:website"": ""https://www.hautarztpraxis-klotzsche.de/"", ""healthcare"": ""doctor"", ""healthcare:speciality"": ""dermatology;allergology"", ""name"": ""Dermatologische Praxis"", ""opening_hours"": ""Mo 08:00-13:00,14:00-19:00; Tu 08:00-13:00; We-Th 14:00-19:00,08:00-13:00; Fr 08:00-13:00"", ""operator"": ""Dr. med. Marvin Kuske;Dipl.-Med. Ina Lange;Dr. med. Sebastian Boldt""}"
DE,Frauenarztpraxis Kerstan,gynaecology,doctor,doctors,"Gerhard-Rohlfs-Straße 37, Bremen, 28757",+49 421 661077,,https://frauenarztpraxis-kerstan.de/,"Mo-Fr 08:00-12:00; Mo 14:00-19:00; Tu, Th 14:00-18:00",53.1743612,8.6146079,node,295206303,https://www.openstreetmap.org/node/295206303,,,node/295206303,"{""addr:city"": ""Bremen"", ""addr:country"": ""DE"", ""addr:housenumber"": ""37"", ""addr:postcode"": ""28757"", ""addr:street"": ""Gerhard-Rohlfs-Straße"", ""amenity"": ""doctors"", ""healthcare"": ""doctor"", ""healthcare:speciality"": ""gynaecology"", ""name"": ""Frauenarztpraxis Kerstan"", ""opening_hours"": ""Mo-Fr 08:00-12:00; Mo 14:00-19:00; Tu, Th 14:00-18:00"", ""phone"": ""+49 421 661077"", ""website"": ""https://frauenarztpraxis-kerstan.de/"", ""wheelchair"": ""limited""}"
DE,"Ludwig W. Ackermann, Adrianus C. den Hertog",orthopaedics,doctor,doctors,,,,,,53.1745873,8.6142339,node,295206304,https://www.openstreetmap.org/node/295206304,,,node/295206304,"{""amenity"": ""doctors"", ""healthcare"": ""doctor"", ""healthcare:speciality"": ""orthopaedics"", ""name"": ""Ludwig W. Ackermann, Adrianus C. den Hertog"", ""wheelchair"": ""limited""}"
DE,Catherine Ruth,gynaecology,doctor,doctors,,,,https://www.praxis-dr-ruth.de/,,53.1747966,8.6131486,node,295206312,https://www.openstreetmap.org/node/295206312,,,node/295206312,"{""amenity"": ""doctors"", ""healthcare"": ""doctor"", ""healthcare:speciality"": ""gynaecology"", ""name"": ""Catherine Ruth"", ""toilets:wheelchair"": ""no"", ""website"": ""https://www.praxis-dr-ruth.de/"", ""wheelchair"": ""limited""}"
DE,Praxis für Radiologie,radiology,doctor,doctors,,,,,,53.1745697,8.6142142,node,295206315,https://www.openstreetmap.org/node/295206315,,,node/295206315,"{""amenity"": ""doctors"", ""healthcare"": ""doctor"", ""healthcare:speciality"": ""radiology"", ""name"": ""Praxis für Radiologie""}"
DE,Christa Goecke,gynaecology,doctor,doctors,,,,,,53.1725193,8.6193227,node,295211255,https://www.openstreetmap.org/node/295211255,,,node/295211255,"{""amenity"": ""doctors"", ""healthcare"": ""doctor"", ""healthcare:speciality"": ""gynaecology"", ""name"": ""Christa Goecke""}"
