country,name,speciality,healthcare,amenity,address,phone,email,website,opening_hours,lat,lon,osm_type,osm_id,osm_url,operator,brand,osm_key,tags_json
HU,Dr. Hegedűs Gyula Háziorvos Dorog,,doctor,doctors,"Bányász körönd 30, Dorog, 2510",,,,,47.7320414,18.7291427,node,370406188,https://www.openstreetmap.org/node/370406188,,,node/370406188,"{""addr:city"": ""Dorog"", ""addr:housenumber"": ""30"", ""addr:postcode"": ""2510"", ""addr:street"": ""Bányász körönd"", ""amenity"": ""doctors"", ""healthcare"": ""doctor"", ""name"": ""Dr. Hegedűs Gyula Háziorvos Dorog""}"
HU,Pathologia,,clinic,clinic,,,,,,47.4251125,19.1320226,node,2407825771,https://www.openstreetmap.org/node/2407825771,,,node/2407825771,"{""amenity"": ""clinic"", ""healthcare"": ""clinic"", ""name"": ""Pathologia""}"
HU,Háziorvosi és fogorvosi rendelő,orthodontics;stomatology;general;dentist,doctor,doctors,,+36 1 206 2951;+36 1 206 2952;+36 1 205 7960,,http://www.szentkristofrendelo.hu/mainpage/consulting-hours/bylocation/49/13,,47.4652942,19.0272689,node,2443142048,https://www.openstreetmap.org/node/2443142048,,,node/2443142048,"{""amenity"": ""doctors"", ""contact:phone"": ""+36 1 206 2951;+36 1 206 2952;+36 1 205 7960"", ""contact:website"": ""http://www.szentkristofrendelo.hu/mainpage/consulting-hours/bylocation/49/13"", ""healthcare"": ""doctor"", ""healthcare:speciality"": ""orthodontics;stomatology;general;dentist"", ""name"": ""Háziorvosi és fogorvosi rendelő"", ""toilets:wheelchair"": ""no"", ""wheelchair"": ""yes""}"
HU,Foglalkozás-egészségügyi rendelés,,doctor,doctors,,+36 20 553 6715,,,Mo 13:00-16:00; Th 09:00-12:00,47.6540424,18.3235909,node,2448628381,https://www.openstreetmap.org/node/2448628381,,,node/2448628381,"{""amenity"": ""doctors"", ""healthcare"": ""doctor"", ""name"": ""Foglalkozás-egészségügyi rendelés"", ""opening_hours"": ""Mo 13:00-16:00; Th 09:00-12:00"", ""phone"": ""+36 20 553 6715""}"
HU,Rendelőintézet Szentgotthárd,internal;dermatology;stomatology;otolaryngology;gastroenterology;neurology;gynaecology;oncology;orthopaedics;psychiatry;rheumatology;surgery;ophthalmology;trauma;urology,hospital,hospital,"Hunyadi János utca 18, Szentgotthárd, 9970",+36 94 554 103,,https://www.rendelointezetsztg.hu/,,46.9558898,16.2679064,node,2460223102,https://www.openstreetmap.org/node/2460223102,,,node/2460223102,"{""addr:city"": ""Szentgotthárd"", ""addr:housenumber"": ""18"", ""addr:postcode"": ""9970"", ""addr:street"": ""Hunyadi János utca"", ""amenity"": ""hospital"", ""healthcare"": ""hospital"", ""healthcare:speciality"": ""internal;dermatology;stomatology;otolaryngology;gastroenterology;neurology;gynaecology;oncology;orthopaedics;psychiatry;rheumatology;surgery;ophthalmology;trauma;urology"", ""name"": ""Rendelőintézet Szentgotthárd"", ""phone"": ""+36 94 554 103"", ""website"": ""https://www.rendelointezetsztg.hu/""}"
HU,,otolaryngology;neurology;surgery;gynaecology;dermatology;urology,,doctors,"Gábor Áron utca 2-10, Gödöllő, 2100",,,,,47.6005358,19.3487598,node,2776859673,https://www.openstreetmap.org/node/2776859673,,,node/2776859673,"{""addr:city"": ""Gödöllő"", ""addr:housenumber"": ""2-10"", ""addr:postcode"": ""2100"", ""addr:street"": ""Gábor Áron utca"", ""amenity"": ""doctors"", ""healthcare:speciality"": ""otolaryngology;neurology;surgery;gynaecology;dermatology;urology""}"
HU,Exclusive Dental fogászat,plastic_surgery;general;gynaecology;ophthalmology;internal;orthopaedics;chiropractic;dermatology;clinic,dentist,dentist,"Ferenciek tere 4, Budapest, 1053",+36 30 641 6051,exclusivedentalbp@gmail.com,https://exclusivedental.eu/,Mo-Fr 08:00-20:00; Sa 08:00-15:00,47.4923205,19.0564226,node,3223701291,https://www.openstreetmap.org/node/3223701291,Exclusive Dental Kft.,,node/3223701291,"{""addr:city"": ""Budapest"", ""addr:housenumber"": ""4"", ""addr:postcode"": ""1053"", ""addr:street"": ""Ferenciek tere"", ""amenity"": ""dentist"", ""check_date"": ""2024-06-27"", ""contact:email"": ""exclusivedentalbp@gmail.com"", ""contact:phone"": ""+36 30 641 6051"", ""contact:website"": ""https://exclusivedental.eu/"", ""description"": ""Implantológia, fogorvos, fogászati klinika"", ""healthcare"": ""dentist"", ""healthcare:speciality"": ""plastic_surgery;general;gynaecology;ophthalmology;internal;orthopaedics;chiropractic;dermatology;clinic"", ""name"": ""Exclusive Dental fogászat"", ""opening_hours"": ""Mo-Fr 08:00-20:00; Sa 08:00-15:00"", ""operator"": ""Exclusive Dental Kft."", ""payment:american_express"": ""yes"", ""payment:cards"": ""yes"", ""payment:cash"": ""yes"", ""payment:credit_cards"": ""yes"", ""payment:maestro"": ""yes"", ""payment:mastercard"": ""yes"", ""payment:visa"": ""yes"", ""payment:visa_electron"": ""yes"", ""wheelchair"": ""yes""}"
HU,Körzeti orvosi rendelő és fogászat,,doctor,doctors,,,,,,46.2761568,20.0606942,node,3437116468,https://www.openstreetmap.org/node/3437116468,,,node/3437116468,"{""amenity"": ""doctors"", ""healthcare"": ""doctor"", ""name"": ""Körzeti orvosi rendelő és fogászat"", ""source"": ""turistautak.hu"", ""source:date"": ""2011-06-24"", ""url"": ""http://turistautak.hu/poi.php?id=111563""}"
HU,"Orvosi, fogorvosi rendelő",,doctor,doctors,,,,,,46.6672557,17.6388823,node,3445485709,https://www.openstreetmap.org/node/3445485709,,,node/3445485709,"{""amenity"": ""doctors"", ""healthcare"": ""doctor"", ""name"": ""Orvosi, fogorvosi rendelő"", ""source"": ""turistautak.hu"", ""source:date"": ""2012-10-14"", ""url"": ""http://turistautak.hu/poi.php?id=83495""}"
HU,"Fogorvos, gyermekorvos",,doctor,doctors,,,,,,46.739517,18.96385,node,3452835492,https://www.openstreetmap.org/node/3452835492,,,node/3452835492,"{""amenity"": ""doctors"", ""healthcare"": ""doctor"", ""name"": ""Fogorvos, gyermekorvos"", ""source"": ""turistautak.hu"", ""source:date"": ""2012-01-01"", ""url"": ""http://turistautak.hu/poi.php?id=131395""}"
HU,Nőgyógyászati és gyermekorvosi rendelő,,doctor,doctors,"Diósdi út 36, Érd, 2030",,,,"Mo,We 16:30-18:30; Th 08:00-10:00",47.3850186,18.9248753,node,3836019317,https://www.openstreetmap.org/node/3836019317,,,node/3836019317,"{""addr:city"": ""Érd"", ""addr:housenumber"": ""36"", ""addr:postcode"": ""2030"", ""addr:street"": ""Diósdi út"", ""amenity"": ""doctors"", ""healthcare"": ""doctor"", ""name"": ""Nőgyógyászati és gyermekorvosi rendelő"", ""opening_hours"": ""Mo,We 16:30-18:30; Th 08:00-10:00""}"
HU,Nőgyógyászati Centrum 4D ultrahang vizsgálat,,doctor,doctors,"Kardos Albert utca 1, Debrecen, 4028",,,,,47.5442376,21.6309626,node,3849899633,https://www.openstreetmap.org/node/3849899633,,,node/3849899633,"{""addr:city"": ""Debrecen"", ""addr:housenumber"": ""1"", ""addr:postcode"": ""4028"", ""addr:street"": ""Kardos Albert utca"", ""amenity"": ""doctors"", ""fixme"": ""please add the proper name."", ""healthcare"": ""doctor"", ""name"": ""Nőgyógyászati Centrum 4D ultrahang vizsgálat""}"
HU,Belvárosi Orvosi Centrum,gynaecology;general;psychiatry;dermatology;radiology;urology;physiotherapy;neurology;surgery,clinic,clinic,"Ferenciek tere 7-8, Budapest, 1053",,info@boc.hu,https://belvarosiorvosicentrum.hu/,Mo-Fr 08:00-20:00,47.4928016,19.057211,node,4355679489,https://www.openstreetmap.org/node/4355679489,Belvárosi Orvosi Centrum Kft.,,node/4355679489,"{""addr:city"": ""Budapest"", ""addr:housenumber"": ""7-8"", ""addr:postcode"": ""1053"", ""addr:street"": ""Ferenciek tere"", ""amenity"": ""clinic"", ""contact:email"": ""info@boc.hu"", ""contact:facebook"": ""490136891083517"", ""contact:foursquare"": ""561e21e9498eb5ed5edd6ff2"", ""contact:mobile"": ""+36 30 372 6832;+36 30 870 7427"", ""contact:website"": ""https://belvarosiorvosicentrum.hu/"", ""healthcare"": ""clinic"", ""healthcare:speciality"": ""gynaecology;general;psychiatry;dermatology;radiology;urology;physiotherapy;neurology;surgery"", ""internet_access"": ""wlan"", ""name"": ""Belvárosi Orvosi Centrum"", ""opening_hours"": ""Mo-Fr 08:00-20:00"", ""operator"": ""Belvárosi Orvosi Centrum Kft."", ""ref:google"": ""/g/11byvcwrsf"", ""url"": ""https://medicall.cc/idopontfoglalas/boc/index""}"
HU,Fogorvosi rendelő,,doctor,doctors,"Bölönyi utca, Biharugra, 5538",,,,,46.9699603,21.5974322,node,4410524591,https://www.openstreetmap.org/node/4410524591,,,node/4410524591,"{""addr:city"": ""Biharugra"", ""addr:postcode"": ""5538"", ""addr:street"": ""Bölönyi utca"", ""amenity"": ""doctors"", ""healthcare"": ""doctor"", ""name"": ""Fogorvosi rendelő""}"
HU,"Körzeti orvos, fogorvos",,doctor,doctors,"Béke utca, 5537",,,,Mo-Su 08:00-12:00,46.9223873,21.4875977,node,4663069390,https://www.openstreetmap.org/node/4663069390,,,node/4663069390,"{""addr:postcode"": ""5537"", ""addr:street"": ""Béke utca"", ""amenity"": ""doctors"", ""healthcare"": ""doctor"", ""name"": ""Körzeti orvos, fogorvos"", ""name:hu"": ""Körzeti orvos, fogorvos"", ""opening_hours"": ""Mo-Su 08:00-12:00""}"
HU,Gynecologist Consulting Room,gynaecology,,doctors,,,,,,47.6142734,16.8005842,node,4848007358,https://www.openstreetmap.org/node/4848007358,,,node/4848007358,"{""amenity"": ""doctors"", ""healthcare:speciality"": ""gynaecology"", ""name"": ""Gynecologist Consulting Room""}"
HU,Fogszabályzó Centrum,,clinic,clinic,,,,https://fogszabalyzas.hu/,,46.2502492,20.1752767,node,4914340566,https://www.openstreetmap.org/node/4914340566,,,node/4914340566,"{""amenity"": ""clinic"", ""description"": ""Fogorvos, logopédia stb."", ""healthcare"": ""clinic"", ""name"": ""Fogszabályzó Centrum"", ""website"": ""https://fogszabalyzas.hu/""}"
HU,Medicover Klinika,gynaecology;internal;dermatology;urology;surgery;clinic,clinic,clinic,"Felső Tisza part 25, Szeged, 6723",+36 1 465 3100,info@medicover.hu,http://www.medicover.hu/clinics/medicover-klinika-szeged/,,46.2582789,20.1651804,node,5278549628,https://www.openstreetmap.org/node/5278549628,Medicover,,node/5278549628,"{""addr:city"": ""Szeged"", ""addr:housenumber"": ""25"", ""addr:postcode"": ""6723"", ""addr:street"": ""Felső Tisza part"", ""amenity"": ""clinic"", ""check_date"": ""2022-07-01"", ""email"": ""info@medicover.hu"", ""healthcare"": ""clinic"", ""healthcare:speciality"": ""gynaecology;internal;dermatology;urology;surgery;clinic"", ""name"": ""Medicover Klinika"", ""operator"": ""Medicover"", ""phone"": ""+36 1 465 3100"", ""website"": ""http://www.medicover.hu/clinics/medicover-klinika-szeged/""}"
HU,II. kerületi foglalkozás-egészségügyi rendelő,,doctor,doctors,"Ady Endre utca 1, Budapest, 1024",,,,,47.5135742,19.0299124,node,5341152135,https://www.openstreetmap.org/node/5341152135,II. Kerület Önkormányzat Egészségügyi Szolgálat,,node/5341152135,"{""addr:city"": ""Budapest"", ""addr:housenumber"": ""1"", ""addr:postcode"": ""1024"", ""addr:street"": ""Ady Endre utca"", ""amenity"": ""doctors"", ""healthcare"": ""doctor"", ""name"": ""II. kerületi foglalkozás-egészségügyi rendelő"", ""operator"": ""II. Kerület Önkormányzat Egészségügyi Szolgálat""}"
HU,,general;internal;gynaecology;orthopaedics;ophthalmology,doctor,doctors,,,,,,46.2484078,20.1430639,node,5475335289,https://www.openstreetmap.org/node/5475335289,,,node/5475335289,"{""amenity"": ""doctors"", ""healthcare"": ""doctor"", ""healthcare:speciality"": ""general;internal;gynaecology;orthopaedics;ophthalmology""}"
HU,Szülészeti-nőgyógyászati osztály,gynaecology,clinic,clinic,,,,http://bajcsyszul.hu/,,47.478563,19.1610991,node,5649961175,https://www.openstreetmap.org/node/5649961175,Szülészet,,node/5649961175,"{""amenity"": ""clinic"", ""healthcare"": ""clinic"", ""healthcare:speciality"": ""gynaecology"", ""level"": ""3"", ""name"": ""Szülészeti-nőgyógyászati osztály"", ""operator"": ""Szülészet"", ""url"": ""http://bajcsy.hu/szuleszet-nogyogyaszat/"", ""website"": ""http://bajcsyszul.hu/"", ""wheelchair"": ""yes""}"
