country,name,speciality,healthcare,amenity,address,phone,email,website,opening_hours,lat,lon,osm_type,osm_id,osm_url,operator,brand,osm_key,tags_json
IT,Centro Traumatologico,,clinic,clinic,"Champoluc, Ayas",,,,,45.839788,7.7314012,node,372794143,https://www.openstreetmap.org/node/372794143,,,node/372794143,"{""addr:city"": ""Ayas"", ""addr:street"": ""Champoluc"", ""amenity"": ""clinic"", ""healthcare"": ""clinic"", ""name"": ""Centro Traumatologico"", ""source"": ""survey""}"
IT,Dott. Giuseppe Giordano - Dietologo,dietist,doctor,doctors,,,,,"Mo,We,Fr 15:30-17:00",37.6491466,12.5981631,node,379687591,https://www.openstreetmap.org/node/379687591,,,node/379687591,"{""amenity"": ""doctors"", ""contact:mobile"": ""+39 347 263 0104"", ""healthcare"": ""doctor"", ""healthcare:speciality"": ""dietist"", ""name"": ""Dott. Giuseppe Giordano - Dietologo"", ""opening_hours"": ""Mo,We,Fr 15:30-17:00""}"
IT,Dr. Angelo Palmieri - Pneumologo,,doctor,doctors,,,,,,41.5066807,15.330794,node,440966701,https://www.openstreetmap.org/node/440966701,,,node/440966701,"{""amenity"": ""doctors"", ""dispensing"": ""no"", ""healthcare"": ""doctor"", ""name"": ""Dr. Angelo Palmieri - Pneumologo""}"
IT,Istituto Dermatologico San Gallicano,dermatology,hospital,hospital,"Via Fermo Ognibene 23, 00144",,,,Mo-Fr; Sa 08:00-01:00,41.8023637,12.4486445,node,804465318,https://www.openstreetmap.org/node/804465318,IRCCS Istituti Fisioterapici Ospitalieri,,node/804465318,"{""addr:housenumber"": ""23"", ""addr:postcode"": ""00144"", ""addr:street"": ""Via Fermo Ognibene"", ""amenity"": ""hospital"", ""healthcare"": ""hospital"", ""healthcare:speciality"": ""dermatology"", ""name"": ""Istituto Dermatologico San Gallicano"", ""opening_hours"": ""Mo-Fr; Sa 08:00-01:00"", ""operator"": ""IRCCS Istituti Fisioterapici Ospitalieri"", ""operator:type"": ""public"", ""short_name"": ""ISG""}"
IT,Centro Traumatologico Dr.Lapira,,doctor,doctors,"Strada Dolomites 39, Pozza di Fassa, 38036",,,,,46.4257494,11.6824873,node,946592174,https://www.openstreetmap.org/node/946592174,,,node/946592174,"{""addr:city"": ""Pozza di Fassa"", ""addr:country"": ""IT"", ""addr:housenumber"": ""39"", ""addr:postcode"": ""38036"", ""addr:street"": ""Strada Dolomites"", ""amenity"": ""doctors"", ""healthcare"": ""doctor"", ""name"": ""Centro Traumatologico Dr.Lapira"", ""public_healthcare"": ""no""}"
IT,Sant'Ambrogio,,doctor,doctors,,,,,,45.5424785,9.1702831,node,1122180917,https://www.openstreetmap.org/node/1122180917,Dott.ssa Albano,,node/1122180917,"{""amenity"": ""doctors"", ""description"": ""Centro prelievi, laboratorio analisi mediche"", ""healthcare"": ""doctor"", ""name"": ""Sant'Ambrogio"", ""operator"": ""Dott.ssa Albano"", ""source"": ""survey""}"
IT,Progetto Salute,,doctor,doctors,"Via Milano 118, Trento, 38122",,,http://www.prosalute.net/,Mo-Fr 07:30-17:00,46.0623434,11.1303074,node,1264896492,https://www.openstreetmap.org/node/1264896492,,,node/1264896492,"{""addr:city"": ""Trento"", ""addr:country"": ""IT"", ""addr:housenumber"": ""118"", ""addr:postcode"": ""38122"", ""addr:street"": ""Via Milano"", ""amenity"": ""doctors"", ""contact:website"": ""http://www.prosalute.net/"", ""healthcare"": ""doctor"", ""name"": ""Progetto Salute"", ""opening_hours"": ""Mo-Fr 07:30-17:00""}"
IT,Dr.Bonamicio Lisabetta,gynaecology;general,clinic,clinic,Via Papa Giovanni 23,,,,,43.8703656,10.3409934,node,1984744878,https://www.openstreetmap.org/node/1984744878,,,node/1984744878,"{""addr:street"": ""Via Papa Giovanni 23"", ""amenity"": ""clinic"", ""healthcare"": ""clinic"", ""healthcare:speciality"": ""gynaecology;general"", ""name"": ""Dr.Bonamicio Lisabetta""}"
IT,Consultorio per l'Adolescenza,gynaecology;psychology;pregnancy;general,,doctors,"Via Vincenzo Bellini 11, 20064",+39 02 9570 7633,,,Mo-Th 09:00-17:00; Fr 09:00-16:00,45.53482,9.4123966,node,2173986998,https://www.openstreetmap.org/node/2173986998,ASST Melegnano,,node/2173986998,"{""addr:country"": ""IT"", ""addr:housenumber"": ""11"", ""addr:postcode"": ""20064"", ""addr:street"": ""Via Vincenzo Bellini"", ""amenity"": ""doctors"", ""healthcare:speciality"": ""gynaecology;psychology;pregnancy;general"", ""loc_name"": ""Consultorio per l'Adolescenza Bussero"", ""name"": ""Consultorio per l'Adolescenza"", ""official_name"": ""Consultorio Adolescenti"", ""opening_hours"": ""Mo-Th 09:00-17:00; Fr 09:00-16:00"", ""opening_hours:url"": ""http://www.asst-melegnano-martesana.it/servizi/servizi-al-cittadino/servizi-territoriali/consultori-familiari-consultori-adolescenti/"", ""operator"": ""ASST Melegnano"", ""phone"": ""+39 02 9570 7633"", ""wheelchair"": ""yes""}"
IT,Ospedale civile di voghera entrata posteriore,,hospital,hospital,,,,,,44.994752,9.0145345,node,2200633476,https://www.openstreetmap.org/node/2200633476,,,node/2200633476,"{""amenity"": ""hospital"", ""healthcare"": ""hospital"", ""name"": ""Ospedale civile di voghera entrata posteriore"", ""toilets:wheelchair"": ""yes"", ""wheelchair"": ""yes""}"
IT,Centro Medicina Biologica - CEMBIO,,clinic,clinic,"Via Giuseppe Ferrari 6, Monza, 20900",,,https://www.centrodimedicinabiologica.it/,,45.5819493,9.2896041,node,2435781375,https://www.openstreetmap.org/node/2435781375,,,node/2435781375,"{""addr:city"": ""Monza"", ""addr:housenumber"": ""6"", ""addr:postcode"": ""20900"", ""addr:street"": ""Via Giuseppe Ferrari"", ""amenity"": ""clinic"", ""health_specialty:alternative_medicine"": ""yes"", ""healthcare"": ""clinic"", ""name"": ""Centro Medicina Biologica - CEMBIO"", ""source"": ""survey"", ""website"": ""https://www.centrodimedicinabiologica.it/""}"
IT,Dott. Raffaele Sciliano Urologo,urology,doctor,doctors,,+39 348 2204683,,,,45.2523364,10.2965963,node,2437296479,https://www.openstreetmap.org/node/2437296479,,,node/2437296479,"{""amenity"": ""doctors"", ""contact:phone"": ""+39 348 2204683"", ""healthcare"": ""doctor"", ""healthcare:speciality"": ""urology"", ""name"": ""Dott. Raffaele Sciliano Urologo""}"
IT,Centro Medico di Patologia Clinica Redi,,clinic,clinic,,+39 0773 691605,,https://www.redilab.it/,,41.4708112,12.9044589,node,2476646656,https://www.openstreetmap.org/node/2476646656,,,node/2476646656,"{""amenity"": ""clinic"", ""healthcare"": ""clinic"", ""name"": ""Centro Medico di Patologia Clinica Redi"", ""phone"": ""+39 0773 691605"", ""website"": ""https://www.redilab.it/""}"
IT,"dott. Marco Penzo, Psicologo",psychiatry,doctor,doctors,"Via Everest 1, Treviso, 31100",,,,,45.6843341,12.219603,node,2515152260,https://www.openstreetmap.org/node/2515152260,,,node/2515152260,"{""addr:city"": ""Treviso"", ""addr:country"": ""IT"", ""addr:housenumber"": ""1"", ""addr:postcode"": ""31100"", ""addr:street"": ""Via Everest"", ""amenity"": ""doctors"", ""emergency"": ""no"", ""healthcare"": ""doctor"", ""healthcare:speciality"": ""psychiatry"", ""name"": ""dott. Marco Penzo, Psicologo""}"
IT,Studio radiologico Scala,,doctor,doctors,,,,,,39.0764216,17.1277887,node,2582456415,https://www.openstreetmap.org/node/2582456415,,,node/2582456415,"{""amenity"": ""doctors"", ""healthcare"": ""doctor"", ""name"": ""Studio radiologico Scala""}"
IT,Centro Radiologico Familiari,radiology,doctor,doctors,,,,,,39.0808306,17.1256328,node,2587549035,https://www.openstreetmap.org/node/2587549035,,,node/2587549035,"{""amenity"": ""doctors"", ""healthcare"": ""doctor"", ""healthcare:speciality"": ""radiology"", ""name"": ""Centro Radiologico Familiari""}"
IT,Poliambulatorio - Via Sassi,cardiology;dermatology;gynaecology;neurology;ophthalmology;orthodontics;dental_oral_maxillo_facial_surgery;otolaryngology,hospital,hospital,"Via Giuseppe Antonio Sassi 4, Milano, 20123",,,https://www.asst-fbf-sacco.it/servizi-territoriali/poliambulatori-32,,45.4668625,9.1720033,node,2678697562,https://www.openstreetmap.org/node/2678697562,ASST Fatebenefratelli Sacco,,node/2678697562,"{""addr:city"": ""Milano"", ""addr:housenumber"": ""4"", ""addr:postcode"": ""20123"", ""addr:street"": ""Via Giuseppe Antonio Sassi"", ""amenity"": ""hospital"", ""emergency"": ""no"", ""healthcare"": ""hospital"", ""healthcare:speciality"": ""cardiology;dermatology;gynaecology;neurology;ophthalmology;orthodontics;dental_oral_maxillo_facial_surgery;otolaryngology"", ""name"": ""Poliambulatorio - Via Sassi"", ""operator"": ""ASST Fatebenefratelli Sacco"", ""operator:type"": ""public"", ""website"": ""https://www.asst-fbf-sacco.it/servizi-territoriali/poliambulatori-32""}"
IT,Studio Psicologico dottoressa Albiero Elisabetta,,doctor,doctors,"Corso Padova 104, Vicenza, 36100",+39 349 0935630,info@psicologo-vicenza.com,https://www.psicologo-vicenza.com/,,45.5479326,11.5580308,node,2690987949,https://www.openstreetmap.org/node/2690987949,Dottoressa Albiero Elisabetta,,node/2690987949,"{""addr:city"": ""Vicenza"", ""addr:country"": ""IT"", ""addr:housenumber"": ""104"", ""addr:postcode"": ""36100"", ""addr:street"": ""Corso Padova"", ""amenity"": ""doctors"", ""email"": ""info@psicologo-vicenza.com"", ""healthcare"": ""doctor"", ""name"": ""Studio Psicologico dottoressa Albiero Elisabetta"", ""operator"": ""Dottoressa Albiero Elisabetta"", ""phone"": ""+39 349 0935630"", ""website"": ""https://www.psicologo-vicenza.com/""}"
IT,Croce Rossa Italiana - Cogoleto,,hospital,,"Piazza Fosco Maggetti 8, Cogoleto, 16016",,,,,44.3899979,8.6455346,node,2766446026,https://www.openstreetmap.org/node/2766446026,Croce Rossa Italiana,Croce Rossa Italiana,node/2766446026,"{""addr:city"": ""Cogoleto"", ""addr:housenumber"": ""8"", ""addr:postcode"": ""16016"", ""addr:street"": ""Piazza Fosco Maggetti"", ""brand"": ""Croce Rossa Italiana"", ""brand:wikidata"": ""Q913903"", ""emergency"": ""ambulance_station"", ""healthcare"": ""hospital"", ""name"": ""Croce Rossa Italiana - Cogoleto"", ""operator"": ""Croce Rossa Italiana""}"
IT,"Studio radiologico ""Città di Parabiago""",,clinic,clinic,"Corso Sempione 80a, Parabiago, 20015",+39 0331 552401,info@studioradiologico.org,http://www.studioradiologico.org,Mo-Fr 09:00-18:00,45.5756449,8.9544594,node,2968673743,https://www.openstreetmap.org/node/2968673743,C.A.S.F.E.L. srl,,node/2968673743,"{""addr:city"": ""Parabiago"", ""addr:housenumber"": ""80a"", ""addr:postcode"": ""20015"", ""addr:street"": ""Corso Sempione"", ""amenity"": ""clinic"", ""contact:email"": ""info@studioradiologico.org"", ""contact:facebook"": ""1113452918698053"", ""contact:phone"": ""+39 0331 552401"", ""contact:website"": ""http://www.studioradiologico.org"", ""healthcare"": ""clinic"", ""name"": ""Studio radiologico \""Città di Parabiago\"""", ""opening_hours"": ""Mo-Fr 09:00-18:00"", ""operator"": ""C.A.S.F.E.L. srl"", ""operator:type"": ""private"", ""ref:vatin"": ""IT10975500157""}"
IT,Radiologia Cavalcanti,,clinic,clinic,"Via Taranto 58, Roma, 00182",+39 06 77204735,radiologia.cavalcanti@yahoo.it,https://www.radiologiacavalcanti.com/,,41.8844353,12.514682,node,3047139662,https://www.openstreetmap.org/node/3047139662,,,node/3047139662,"{""addr:city"": ""Roma"", ""addr:country"": ""IT"", ""addr:housenumber"": ""58"", ""addr:postcode"": ""00182"", ""addr:street"": ""Via Taranto"", ""amenity"": ""clinic"", ""email"": ""radiologia.cavalcanti@yahoo.it"", ""fax"": ""+39 06 77204735"", ""healthcare"": ""clinic"", ""name"": ""Radiologia Cavalcanti"", ""phone"": ""+39 06 77204735"", ""website"": ""https://www.radiologiacavalcanti.com/""}"
IT,A.O.U. CITTÀ DELLA SALUTE E DELLA SCIENZA DI TORINO – OSPEDALE OSTETRICO GINECOLOGICO SANT’ANNA,gynaecology;oncology;senologia;contro_violenza_di_genere,hospital,hospital,"Corso Spezia 60, Torino",,,,,45.0361441,7.6740203,node,3070468685,https://www.openstreetmap.org/node/3070468685,,,node/3070468685,"{""addr:city"": ""Torino"", ""addr:housenumber"": ""60"", ""addr:street"": ""Corso Spezia"", ""amenity"": ""hospital"", ""healthcare"": ""hospital"", ""healthcare:speciality"": ""gynaecology;oncology;senologia;contro_violenza_di_genere"", ""name"": ""A.O.U. CITTÀ DELLA SALUTE E DELLA SCIENZA DI TORINO – OSPEDALE OSTETRICO GINECOLOGICO SANT’ANNA""}"
IT,Punto erogazione servizi Monterubiaglio,,clinic,clinic,,,,,,42.7701769,12.0183022,node,3149436864,https://www.openstreetmap.org/node/3149436864,Azienda Unità Sanitaria Locale Umbria n. 2,,node/3149436864,"{""amenity"": ""clinic"", ""healthcare"": ""clinic"", ""name"": ""Punto erogazione servizi Monterubiaglio"", ""operator"": ""Azienda Unità Sanitaria Locale Umbria n. 2"", ""operator:type"": ""public"", ""short_name"": ""P.E.S. Monterubiaglio""}"
IT,"Studio radiologico ""Bioradiologia""",,doctor,doctors,,,,,,39.9016298,8.5897178,node,3247312575,https://www.openstreetmap.org/node/3247312575,,,node/3247312575,"{""amenity"": ""doctors"", ""healthcare"": ""doctor"", ""name"": ""Studio radiologico \""Bioradiologia\""""}"
IT,Poliambulatorio di via Masaniello,gynaecology;ophthalmology;dentist;orthopaedics;dermatology;otolaryngology;radiology;general;surgery;cardiology;neurology,clinic,clinic,"Via Masaniello 23, Milano, 20152",,,,,45.4628809,9.0908564,node,3373327796,https://www.openstreetmap.org/node/3373327796,ASST Nord Milano,,node/3373327796,"{""addr:city"": ""Milano"", ""addr:housenumber"": ""23"", ""addr:postcode"": ""20152"", ""addr:street"": ""Via Masaniello"", ""amenity"": ""clinic"", ""emergency"": ""no"", ""healthcare"": ""clinic"", ""healthcare:speciality"": ""gynaecology;ophthalmology;dentist;orthopaedics;dermatology;otolaryngology;radiology;general;surgery;cardiology;neurology"", ""name"": ""Poliambulatorio di via Masaniello"", ""operator"": ""ASST Nord Milano"", ""operator:type"": ""public""}"
IT,Pneumologia,,clinic,clinic,,+39 0874 313054,,,,41.5498239,14.6771613,node,3617702170,https://www.openstreetmap.org/node/3617702170,Asrem,,node/3617702170,"{""amenity"": ""clinic"", ""healthcare"": ""clinic"", ""name"": ""Pneumologia"", ""operator"": ""Asrem"", ""phone"": ""+39 0874 313054""}"
