"external_id","source_system","record_type","country_code","provider_name","legal_name","ico","id_zz","primary_specialty","kod_pzs_primary","kod_pzs_all","kod_pzs_count","kod_pzs_description","weekly_office_hours","insurance_vszp","insurance_dovera","insurance_union","street","building_number","orientation_number","city","district","region","country","address_full","primary_phone","phone_2","phone_3","phone_4","phone_5","phone_6","phones_all","primary_email","email_2","email_3","email_4","email_5","emails_all","primary_contact_person","contact_person_2","contact_person_3","contact_person_4","contact_person_5","contact_person_6","contact_persons_all","website_primary","websites_all","source_urls","source_files","notes","contact_enriched_from_web","contact_enriched_source_url","contact_enriched_note","import_tags","data_quality_flags"
"61-36670651-A0001","gyn_data_xlsx_2026-04-28","medical_provider_practice","SK","A GYN s. r. o.","A GYN s. r. o.","36670651","61-36670651-A0001","gynecology_obstetrics","P65281009201","P65281009201 | P65281130201 | P65281247201 | P65281247502","4","P65281009201 – gynekológia a pôrodníctvo; samostatná ambulancia / ambulantná starostlivosť; poradové číslo 01 | P65281130201 – nezistené v lokálnom číselníku; samostatná ambulancia / ambulantná starostlivosť; poradové číslo 01 | P65281247201 – ultrazvuk v gynekológii a pôrodníctve; samostatná ambulancia / ambulantná starostlivosť; poradové číslo 01 | P65281247502 – ultrazvuk v gynekológii a pôrodníctve; pracovisko / doplnkový útvar; poradové číslo 02","31.5","1","1","1","Malokarpatské námestie","1124","2","Bratislava - mestská časť Lamač","Bratislava IV","BA","SK","Malokarpatské námestie 1124/2, Bratislava - mestská časť Lamač, Bratislava IV, BA, SK","421915725079","","","","","","421915725079","ambulancia@agyn.sk","","","","","ambulancia@agyn.sk","MUDr. Dagmar Psalmanová, PhD., MBA","Slávka Pialová","","","","","MUDr. Dagmar Psalmanová, PhD., MBA | Slávka Pialová","https://www.e-vuc.sk/buxus/generate_page.php?page_id=60364","https://www.e-vuc.sk/buxus/generate_page.php?page_id=60364 | https://www.e-vuc.sk/e-vuc/poskytovatelia/a-gyn-s.-r.-o..html?page_id=109054 | https://agyn.sk/ | https://agyn.sk/kontakt/","https://agyn.sk/kontakt/ | https://agyn.sk/ | https://www.e-vuc.sk/buxus/generate_page.php?page_id=60364","gyn_first10_completed.csv | gyn_combined_from_archive.csv | gyn_combined_consolidated.csv","","","","","gyn;sk;medical_partner_candidate;indexus_import",""
"64-44991673-A0001","gyn_data_xlsx_2026-04-28","medical_provider_practice","SK","A.N.G. s.r.o.","A.N.G. s.r.o.","44991673","64-44991673-A0001","gynecology_obstetrics","P65983009201","P65983009201","1","P65983009201 – gynekológia a pôrodníctvo; samostatná ambulancia / ambulantná starostlivosť; poradové číslo 01","36","1","1","1","Rábska","4289","19","Kolárovo","Komárno","NR","SK","Rábska 4289/19, Kolárovo, Komárno, NR, SK","421918838148","421905344542","","","","","421918838148 | 421905344542","","","","","","","MUDr. Gőghová Angelika","Oroszi Anita","MUDr. Angelika Gőghová","","","","MUDr. Gőghová Angelika | Oroszi Anita | MUDr. Angelika Gőghová","https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/komarno/primarna-gynekologicko-porodnicka-ambulancia-mudr.goghova-angelika-kolarovo-a.n.g..html?page_id=87173","https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/komarno/primarna-gynekologicko-porodnicka-ambulancia-mudr.goghova-angelika-kolarovo-a.n.g..html?page_id=87173","https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/komarno/primarna-gynekologicko-porodnicka-ambulancia-mudr.goghova-angelika-kolarovo-a.n.g..html?page_id=87173 | https://komlife.eu/tehotenstvo-a-rodicovstvo/pred-porodom/predporodna-gynekologia-v-komarne/ | https://cytologia.sk/zoznam-lekarov/","gyn_first10_completed.csv | missing_contacts_batch_001_010_reset.csv | missing_contacts_batch_001_010_filled.csv | gyn_combined_from_archive.csv | gyn_combined_consolidated.csv","","","","","gyn;sk;medical_partner_candidate;indexus_import","missing_email"
"64-35965665-A0001","gyn_data_xlsx_2026-04-28","medical_provider_practice","SK","AB GYN s.r.o.","AB GYN s.r.o.","35965665","64-35965665-A0001","gynecology_obstetrics","P39081009201","P39081009201","1","P39081009201 – gynekológia a pôrodníctvo; samostatná ambulancia / ambulantná starostlivosť; poradové číslo 01","22","1","1","1","Čsl. Armády","1601","11","Hurbanovo","Komárno","NR","SK","Čsl. Armády 1601/11, Hurbanovo, Komárno, NR, SK","421915404922","421357603467","","","","","421915404922 | 421357603467","","","","","","","MUDr. Anna Bašternáková","","","","","","MUDr. Anna Bašternáková","https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/komarno/primarna-gynekologicko-porodnicka-ambulancia-hurbanovo-ab-gyn.html?page_id=87177","https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/komarno/primarna-gynekologicko-porodnicka-ambulancia-hurbanovo-ab-gyn.html?page_id=87177 | https://www.e-vuc.sk/e-vuc/poskytovatelia/ab-gyn.html?page_id=112866","https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/komarno/primarna-gynekologicko-porodnicka-ambulancia-hurbanovo-ab-gyn.html?page_id=87177 | https://www.azet.sk/firma/305018/ab-gyn-sro/ | https://www.zzz.sk/zariadenie/22662-gynekologicka-ambulancia-mudr-basternakova-anna-ab-gyn-sro | https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/komarno/primarna-gynekologicko-porodnicka-ambulancia-hurbanovo-ab-gyn.html?iframe=1%3F1570579200040&page_id=87177 | https://komlife.eu/tehotenstvo-a-rodicovstvo/pred-porodom/predporodna-gynekologia-v-komarne/","gyn_first10_completed.csv | missing_contacts_batch_001_010_reset.csv | missing_contacts_batch_001_010_filled.csv | gyn_combined_from_archive.csv | gyn_combined_consolidated.csv","","","","","gyn;sk;medical_partner_candidate;indexus_import","missing_email"
"61-46506381-A0001","gyn_data_xlsx_2026-04-28","medical_provider_practice","SK","ACsonogyn s. r. o.","ACsonogyn s. r. o.","46506381","61-46506381-A0001","gynecology_obstetrics","P23054009201","P23054009201 | P23054247201 | P23054247501","3","P23054009201 – gynekológia a pôrodníctvo; samostatná ambulancia / ambulantná starostlivosť; poradové číslo 01 | P23054247201 – ultrazvuk v gynekológii a pôrodníctve; samostatná ambulancia / ambulantná starostlivosť; poradové číslo 01 | P23054247501 – ultrazvuk v gynekológii a pôrodníctve; pracovisko / doplnkový útvar; poradové číslo 01","30","1","1","1","Hroboňova","3484","4","Bratislava - mestská časť Staré Mesto","Bratislava I","BA","SK","Hroboňova 3484/4, Bratislava - mestská časť Staré Mesto, Bratislava I, BA, SK","421254792509","","","","","","421254792509","","","","","","","MUDr. Anton Čunderlík PhD","MUDr. Anton Čunderlík","Eliška Lacková","","","","MUDr. Anton Čunderlík PhD | MUDr. Anton Čunderlík | Eliška Lacková","https://www.e-vuc.sk/buxus/generate_page.php?page_id=60317","https://www.e-vuc.sk/buxus/generate_page.php?page_id=60317 | https://www.e-vuc.sk/e-vuc/poskytovatelia/acsonogyn-s.-r.-o..html?page_id=109066","https://www.e-vuc.sk/buxus/generate_page.php?page_id=60317 | https://www.orlymediciny.eu/profile-33897-mudr-anton-cunderlik-phd-acsonogyn-s-r-o | https://www.e-vuc.sk/e-vuc/poskytovatelia/acsonogyn-s.-r.-o..html?page_id=109066 | https://poskytovatelia.dovera.sk/6658072-6270818/acsonogyn-s-r-o","gyn_first10_completed.csv | missing_contacts_batch_001_010_reset.csv | missing_contacts_batch_001_010_filled.csv | gyn_combined_from_archive.csv | gyn_combined_consolidated.csv","","","","","gyn;sk;medical_partner_candidate;indexus_import","missing_email"
"65-36811602-A0001","gyn_data_xlsx_2026-04-28","medical_provider_practice","SK","AETAS, s.r.o.","AETAS, s.r.o.","36811602","65-36811602-A0001","gynecology_obstetrics","P67180009201","P67180009201","1","P67180009201 – gynekológia a pôrodníctvo; samostatná ambulancia / ambulantná starostlivosť; poradové číslo 01","29.5","1","1","1","9. mája","438","15","Turčianske Teplice","Turčianske Teplice","ZA","SK","9. mája 438/15, Turčianske Teplice, Turčianske Teplice, ZA, SK","421434924267","421434923473","","","","","421434924267 | 421434923473","","","","","","","MUDr. Kristína Biskupská Boďová, PhD.","","","","","","MUDr. Kristína Biskupská Boďová, PhD.","https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/turcianske-teplice/primarna-gynekologicko-porodnicka-ambulancia-mudr.-kristina-biskupska-bodova-phd.-turcianske-teplice-aetas.html?page_id=54399","https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/turcianske-teplice/primarna-gynekologicko-porodnicka-ambulancia-mudr.-kristina-biskupska-bodova-phd.-turcianske-teplice-aetas.html?page_id=54399 | https://www.e-vuc.sk/e-vuc/poskytovatelia/aetas.html?page_id=115587","https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/turcianske-teplice/primarna-gynekologicko-porodnicka-ambulancia-mudr.-kristina-biskupska-bodova-phd.-turcianske-teplice-aetas.html?page_id=54399 | https://www.e-vuc.sk/e-vuc/poskytovatelia/aetas.html?page_id=115587 | https://www.objednatvysetrenie.sk/vyber-druhu-vysetrenia.html?page_id=89960&zid=54399","gyn_rows_11_20_completed.csv | missing_contacts_batch_001_010_reset.csv | missing_contacts_batch_001_010_filled.csv | gyn_combined_from_archive.csv | gyn_combined_consolidated.csv","","","","","gyn;sk;medical_partner_candidate;indexus_import","missing_email"
"62-36247731-A0001","gyn_data_xlsx_2026-04-28","medical_provider_practice","SK","AFK, s.r.o.","AFK, s.r.o.","36247731","62-36247731-A0001","gynecology_obstetrics","N92439009201","N92439009201 | P92439009205","2","N92439009201 – gynekológia a pôrodníctvo; samostatná ambulancia / ambulantná starostlivosť; poradové číslo 01 | P92439009205 – gynekológia a pôrodníctvo; samostatná ambulancia / ambulantná starostlivosť; poradové číslo 05","32.5","1","1","1","Veľkoblahovská cesta","67","23","Dunajská Streda","Dunajská Streda","TT","SK","Veľkoblahovská cesta 67/23, Dunajská Streda, Dunajská Streda, TT, SK","421907525202","","","","","","421907525202","foldesdr@gmail.com","","","","","foldesdr@gmail.com","MUDr. Földesová Katarína","","","","","","MUDr. Földesová Katarína","https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dunajska-streda/gynekologicka-ambulancia-dunajska-streda-afk.html?page_id=85446","https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dunajska-streda/gynekologicka-ambulancia-dunajska-streda-afk.html?page_id=85446 | https://www.afk.sk/","","gyn_rows_11_20_completed.csv | gyn_combined_from_archive.csv | gyn_combined_consolidated.csv","","","","","gyn;sk;medical_partner_candidate;indexus_import",""
"62-36704733-A0001","gyn_data_xlsx_2026-04-28","medical_provider_practice","SK","AFW s.r.o.","AFW s.r.o.","36704733","62-36704733-A0001","gynecology_obstetrics","P72419009201","P72419009201 | P72419271201","2","P72419009201 – gynekológia a pôrodníctvo; samostatná ambulancia / ambulantná starostlivosť; poradové číslo 01 | P72419271201 – nezistené v lokálnom číselníku; samostatná ambulancia / ambulantná starostlivosť; poradové číslo 01","34.5","1","1","1","Hlavná","929","6","Galanta","Galanta","TT","SK","Hlavná 929/6, Galanta, Galanta, TT, SK","421911269067","421905269067","","","","","421911269067 | 421905269067","gynekolog@afw.sk","","","","","gynekolog@afw.sk","MUDr. Emil Havránek MPH","Edita Kisová","","","","","MUDr. Emil Havránek MPH | Edita Kisová","https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/galanta/primarna-gynekologicko-porodnicka-ambulancia-galanta-afw.html?page_id=85448","https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/galanta/primarna-gynekologicko-porodnicka-ambulancia-galanta-afw.html?page_id=85448 | https://www.afw.sk/","","gyn_rows_11_20_completed.csv | gyn_combined_from_archive.csv | gyn_combined_consolidated.csv","","","","","gyn;sk;medical_partner_candidate;indexus_import",""
"65-47236507-A0001","gyn_data_xlsx_2026-04-28","medical_provider_practice","SK","AGAIA s.r.o.","AGAIA s.r.o.","47236507","65-47236507-A0001","gynecology_obstetrics","P86369009201","P86369009201","1","P86369009201 – gynekológia a pôrodníctvo; samostatná ambulancia / ambulantná starostlivosť; poradové číslo 01","40","1","1","1","Prieložtek","4014","1","Martin","Martin","ZA","SK","Prieložtek 4014/1, Martin, Martin, ZA, SK","421907857999","","","","","","421907857999","","","","","","","Adriana Gáťová","Jana Janáková","Barbora Kokošková","MUDr. Adriana Gáťová","","","Adriana Gáťová | Jana Janáková | Barbora Kokošková | MUDr. Adriana Gáťová","https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/martin/primarna-gynekologicko-porodnicka-ambulancia-adriana-gatova-martin-agaia.html?page_id=73716","https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/martin/primarna-gynekologicko-porodnicka-ambulancia-adriana-gatova-martin-agaia.html?page_id=73716 | https://agaia.sk/","gyn_rows_11_20_completed.csv | low","gyn_rows_11_20_completed.csv | missing_contacts_batch_001_010_reset.csv | missing_contacts_batch_001_010_filled.csv | gyn_combined_from_archive.csv | gyn_combined_consolidated.csv","","","","","gyn;sk;medical_partner_candidate;indexus_import","missing_email"
"51-45964173-A0008","gyn_data_xlsx_2026-04-28","medical_provider_practice","SK","AGEL Mammacentrum sv. Agáty a. s.","AGEL Mammacentrum sv. Agáty a. s.","45964173","51-45964173-A0008","gynecology_obstetrics","P64658009201","P64658009201","1","P64658009201 – gynekológia a pôrodníctvo; samostatná ambulancia / ambulantná starostlivosť; poradové číslo 01","40","1","1","1","Tibora Andrašovana","14486","46","Banská Bystrica","Banská Bystrica","BB","SK","Tibora Andrašovana 14486/46, Banská Bystrica, Banská Bystrica, BB, SK","421533332332","421484204901","421484204911","","","","421533332332 | 421484204901 | 421484204911","mammacentrum@mmc.agel.sk","","","","","mammacentrum@mmc.agel.sk","","","","","","","","https://mammacentrum.agel.sk/","https://mammacentrum.agel.sk/ | https://mammacentrum.agel.sk/kontakty.html","","gyn_rows_11_20_completed.csv | gyn_combined_from_archive.csv | gyn_combined_consolidated.csv","","","","","gyn;sk;medical_partner_candidate;indexus_import",""
"67-36810011-A0001","gyn_data_xlsx_2026-04-28","medical_provider_practice","SK","AGYND, s.r.o.","AGYND, s.r.o.","36810011","67-36810011-A0001","gynecology_obstetrics","P48750009201","P48750009201","1","P48750009201 – gynekológia a pôrodníctvo; samostatná ambulancia / ambulantná starostlivosť; poradové číslo 01","30","1","1","1","Tatranské námestie","4914","8","Poprad","Poprad","PO","SK","Tatranské námestie 4914/8, Poprad, Poprad, PO, SK","421527733303","","","","","","421527733303","agyndsro@gmail.com","","","","","agyndsro@gmail.com","MUDr. Marcel Hrebenár","MUDr. Peter Zelený, MPH","","","","","MUDr. Marcel Hrebenár | MUDr. Peter Zelený, MPH","https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poprad/primarna-gynekologicko-porodnicka-ambulancia-poprad-agynd.html?page_id=97148","https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poprad/primarna-gynekologicko-porodnicka-ambulancia-poprad-agynd.html?page_id=97148 | https://www.agynd.sk/ | https://www.agynd.sk/kontakt/","","gyn_rows_11_20_completed.csv | gyn_combined_from_archive.csv | gyn_combined_consolidated.csv","","","","","gyn;sk;medical_partner_candidate;indexus_import",""
